"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
"RH_ANCN_W_N4P","rh_anc_4vs","Chittagong",0.520754716981132,0.250514579759863,0.497669350085489,0.0015697296416357,30,29
"RH_ANCN_W_N4P","rh_anc_4vs","Chuadanga",0.466666666666667,0.257471264367816,0.451113573361138,0.00273837202903771,6,5
"RH_ANCN_W_N4P","rh_anc_4vs","Comilla",0.3046875,0.213521161417323,0.288768595782929,0.00264624955631499,15,14
"RH_ANCN_W_N4P","rh_anc_4vs","Cox's Bazar",0.476190476190476,0.253456221198157,0.46031431303599,0.00396149162031765,5,4
"RH_ANCN_W_N4P","rh_anc_4vs","Dhaka",0.608391608391608,0.239087228560913,0.607317780728868,0.00100077277244674,42,41
"RH_ANCN_W_N4P","rh_anc_4vs","Dinajpur",0.41304347826087,0.245102723363593,0.401563961929301,0.00237911198702002,16,15
"RH_ANCN_W_N4P","rh_anc_4vs","Faridpur",0.346153846153846,0.235384615384615,0.346174923670412,0.0161316565114398,4,3
"RH_ANCN_W_N4P","rh_anc_4vs","Feni",0.351851851851852,0.23235499650594,0.355920122555412,0.000585453311319763,5,4
"RH_ANCN_W_N4P","rh_anc_4vs","Gaibandha",0.271844660194175,0.19988577955454,0.273989725814804,0.00141962814548223,12,11
"RH_ANCN_W_N4P","rh_anc_4vs","Gazipur",0.2625,0.196044303797468,0.273134348281053,0.00240500199273975,10,9
"RH_ANCN_W_N4P","rh_anc_4vs","Gopalganj",0.3,0.221052631578947,0.357501206150837,0.0274187649191093,3,2
"RH_ANCN_W_N4P","rh_anc_4vs","Habiganj",0.385245901639344,0.238788782007858,0.364664975220129,0.00272367729692812,15,14
"RH_ANCN_W_N4P","rh_anc_4vs","Jamalpur",0.30327868852459,0.213047012599919,0.289430696443821,0.00653853158129645,16,15
"RH_ANCN_W_N4P","rh_anc_4vs","Jessore",0.428571428571429,0.247619047619048,0.407517241574898,0.00422804039048696,13,12
"RH_ANCN_W_N4P","rh_anc_4vs","Jhalokati",0.372093023255814,0.239202657807309,0.336789546294687,0.00556156972513806,6,5
"RH_ANCN_W_N4P","rh_anc_4vs","Jhenaidah",0.453333333333333,0.251171171171171,0.439935944157717,0.00432987863278456,10,9
"RH_ANCN_W_N4P","rh_anc_4vs","Joypurhat",0.333333333333333,0.235294117647059,0.338140060240964,0.00641593079530005,4,3
"RH_ANCN_W_N4P","rh_anc_4vs","Khagrachhari",0.227272727272727,0.183982683982684,0.152343084961409,0.0186796954767379,3,2
"RH_ANCN_W_N4P","rh_anc_4vs","Khulna",0.5625,0.248310810810811,0.554754689314862,0.00356525320890101,18,17
"RH_ANCN_W_N4P","rh_anc_4vs","Kishoreganj",0.212121212121212,0.16969696969697,0.224485318961291,0.00581451832574003,7,6
"RH_ANCN_W_N4P","rh_anc_4vs","Kurigram",0.244444444444444,0.186766541822722,0.200390771299584,0.00381838988970404,12,11
"RH_ANCN_W_N4P","rh_anc_4vs","Kushtia",0.408450704225352,0.245070422535211,0.396162160524142,0.00506119930330544,10,9
"RH_ANCN_W_N4P","rh_anc_4vs","Lakshmipur",0.416666666666667,0.247175141242938,0.415190986585035,0.0095210840688909,6,5
"RH_ANCN_W_N4P","rh_anc_4vs","Lalmonirhat",0.447368421052632,0.253911806543385,0.459205281454499,0.00296816865103636,5,4
"RH_ANCN_W_N4P","rh_anc_4vs","Madaripur",0.62962962962963,0.242165242165242,0.608749484607432,0.00540446963974212,3,2
